ticker,long_name,mgmt_name,et_flag,index_fund_flag,first_offer_dt,end_dt,dead_flag,aum_millions,tna_latest_dt,nav_latest,nav_latest_dt,per_com,per_bond,per_cash,caldt,avg_volume
AGG,iShares Trust: iShares Core US Aggregate Bond ETF,BlackRock Inc,F,D,2003-09-22,2026-03-31,N,138698.2,2026-03-31,99.2971,2026-03-31,0.0,0.0,0.6300000000000003,2026-03-31,
BKLN,Invesco Exchange-Traded Fund Trust II: Invesco Senior Loan ETF,Invesco Capital Management LLC,F,D,2011-03-01,2026-03-31,N,6260.3,2026-03-31,20.45,2026-03-31,0.0,0.0,7.58,2026-03-31,
BND,Vanguard Bond Index Funds: Vanguard Total Bond Market Index Fund; ETF Shares,Vanguard Group Inc,F,D,2007-04-03,2026-03-31,N,151563.1,2026-03-31,73.62,2026-03-31,0.0,0.0,0.33,2026-03-31,
EFA,iShares Trust: iShares MSCI EAFE ETF,BlackRock Fund Advisors,F,D,2001-08-14,2026-03-31,N,71451.2,2026-03-31,96.8174,2026-03-31,96.24,0.0,0.24,2026-03-31,
EMLC,VanEck ETF Trust: VanEck JP Morgan EM Local Currency Bond ETF,Van Eck,F,D,2010-07-22,2026-03-31,N,4748.5,2026-03-31,24.9759,2026-03-31,0.0,0.0,0.22,2026-03-31,
GLD,SPDR Gold Trust: SPDR Gold Shares,State Street Bank and Trust Company,F,B,2004-11-18,2026-03-31,N,155110.8,2026-03-31,423.3374,2026-03-31,0.0,0.0,-0.03,2026-03-31,
IVV,iShares Trust: iShares Core S&P 500 ETF,BlackRock,F,D,2000-05-15,2026-03-31,N,720543.4,2026-03-31,653.3467,2026-03-31,99.82,0.0,0.06000000000000002,2026-03-31,
IWM,iShares Trust: iShares Russell 2000 ETF,BlackRock,F,D,2000-05-22,2026-03-31,N,71915.6,2026-03-31,247.8993,2026-03-31,99.7,0.0,-0.3600000000000013,2026-03-31,
LQD,iShares Trust: iShares iBoxx $ Investment Grade Corporate Bond Fund,BlackRock Fund Advisors,F,D,2002-07-22,2026-03-31,N,28883.7,2026-03-31,108.872,2026-03-31,0.0,0.0,0.71,2026-03-31,
PGX,Invesco Exchange-Traded Fund Trust II: Invesco Preferred ETF,Invesco Capital Management LLC,F,D,2008-01-28,2026-03-31,N,3765.3,2026-03-31,10.88,2026-03-31,0.46,0.0,0.04,2026-03-31,
