date,AGG,BKLN,BND,EFA,EMLC,GLD,IVV,IWM,LQD,PGX,QQQ,RSP,SCHB,SCHD,SCHF,SCHX,SPY,VEA,VOO,VTI,VWO,XLE,XLF,XLK
2015-01-02,110.43,23.99,82.65,60.58,42.04,114.08,206.73,118.93,119.83,14.75,102.94,80.03,8.293333333333333,13.270000000000001,14.4,8.17,205.42999,37.69,188.39999,105.92,39.56,79.53,20.067920945537463,41.27
2015-01-05,110.67,23.93,82.89,59.15,41.78,115.8,203.10001,117.34,120.32,14.72,101.43,78.44,8.151666666666666,13.083333333333334,14.08,8.031666666666666,201.72,36.85,185.09,104.1,38.93,76.24,19.645950913524544,40.64
2015-01-06,110.95,23.86,83.13,58.48,41.84,117.12,201.27,115.31,120.81,14.73,100.07,77.59,8.071666666666667,13.003333333333332,13.925,7.96,199.82001,36.44,183.27,103.08,38.74,75.12,19.345703006130737,40.15
2015-01-07,110.93,23.85,83.18,59.13,42.14,116.43,203.75999,116.73,120.97,14.77,101.36,78.52,8.166666666666666,13.156666666666666,14.055,8.055,202.31,36.83,185.56,104.31,39.63,75.28,19.548573213829254,40.49
2015-01-08,110.76,23.9,83.05,59.93,42.32,115.94,207.39999,118.71,120.58,14.78,103.3,79.9,8.311666666666666,13.4,14.24,8.198333333333332,205.89999,37.39,188.82001,106.15,40.3,76.97,19.84070631291512,41.38
2015-01-09,111.03,23.92,83.19,59.64,42.54,117.26,205.64999,117.57,120.9,14.78,102.62,79.25,8.245,13.296666666666667,14.175,8.131666666666666,204.25,37.21,187.23,105.27,40.1,76.36,19.57291763875308,41.25
2015-01-12,111.12,23.91,83.3,59.5,42.4,118.56,204.09,117.18,121.13,14.77,101.55,78.46,8.181333333333333,13.223333333333334,14.12,8.066666666666666,202.64999,37.17,185.84,104.52,39.74,74.16,19.410621472594265,40.77
2015-01-13,111.15,23.94,83.38,59.8,42.24,118.16,203.56,117.27,121.24,14.77,101.52,78.26,8.166666666666666,13.193333333333333,14.195,8.048333333333334,202.08,37.35,185.35001,104.28,40.02,73.57,19.345703006130737,40.74
2015-01-14,111.42,23.93,83.57,59.63,42.56,117.97,202.33,116.8,121.45,14.77,100.96,77.85,8.12,13.13,14.145,8.001666666666667,200.86,37.25,184.25999,103.71,39.87,73.8,19.069799523660752,40.51
2015-01-15,111.93,23.79,83.94,60.01,42.36,120.94,200.42999,114.83,122.08,14.68,99.65,77.13,8.036666666666667,13.08,14.205,7.928,199.0199,37.46,182.53999,102.66,39.99,72.86,18.83447008273047,39.99
2015-01-16,111.5,23.9,83.69,60.79,42.54,122.52,203.0,116.7,121.4,14.73,100.82,78.19,8.143333333333333,13.256666666666668,14.38,8.031666666666666,201.63,37.87,184.8,104.0199,40.39,75.23,19.06168471535281,40.38
2015-01-20,111.69,23.91,83.6,61.0,42.54,124.2,203.5,116.21,121.68,14.73,101.62,78.23,8.155,13.270000000000001,14.425,8.045,202.05499,38.04,185.25999,104.17,40.25,75.32,18.980536632273402,40.72
2015-01-21,111.49,23.92,83.44,61.48,42.46,124.23,204.5,115.84,121.63,14.74,102.14,78.77,8.193333333333333,13.326666666666666,14.53,8.086666666666668,203.08,38.32,186.23,104.64,41.15,76.85,19.029225482121046,40.79
2015-01-22,111.43,23.97,83.46,61.71,42.72,125.23,207.5,118.2,121.57,14.76,104.03,79.87,8.318333333333333,13.483333333333334,14.59,8.206666666666667,206.10001,38.46,189.08,106.23,42.02,77.21,19.49988436398161,41.46
2015-01-23,111.71,24.02,83.73,61.36,42.88,124.23,206.39,118.12,122.28,14.78,104.26,79.44,8.281666666666666,13.313333333333333,14.505,8.165000000000001,204.97,38.23,188.03999,105.75,41.66,76.66,19.28889934797515,41.45
2015-01-26,111.66,24.03,83.63,62.2,42.86,122.99,206.94,119.26,122.25,14.81,104.14,79.83,8.313333333333334,13.326666666666666,14.68,8.19,205.45,38.74,188.41,106.19,41.71,77.76,19.38627704767044,41.28
2015-01-27,111.6,24.0,83.68,62.29,42.94,124.4,204.16,118.69,122.34,14.82,101.44,79.19,8.22,13.123333333333333,14.705,8.09,202.74001,38.77,185.94009,104.95,41.49,77.71,19.17529203166398,40.09
2015-01-28,112.07,23.96,83.98,61.36,42.64,123.42,201.52,116.69,123.17,14.84,100.92,77.98,8.11,12.953333333333333,14.49,7.984999999999999,200.14,38.26,183.49001,103.53,41.0,74.65,18.82635527442253,40.02
2015-01-29,111.98,24.02,83.89,62.2,42.54,120.76,203.45,118.3,122.88,14.84,101.89,78.7,8.176666666666668,13.08,14.665,8.049999999999999,201.9902,38.78,185.27,104.52,41.04,74.9,18.980536632273402,40.4
2015-01-30,112.38,23.97,84.35,61.22,42.36,123.45,200.87,115.7,123.89,14.86,101.1,77.712,8.073333333333332,12.87,14.465,7.956666666666667,199.45,38.15,182.99001,103.1,39.94,75.55,18.672173916571655,39.9
